0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBtr0085315,0.952147584055219,1.1028531819274,1.48832464786198,0.741003102724719,0.458691559044745,0.56995577224029
FBtr0085316,0.826326685671134,-0.528387841739014,1.42007427563161,-0.372084651349665,0.709829823689421,0.79334557006871
FBtr0085321,1.07258865922042,0.18884093206532,1.17068884644665,0.161307534994036,0.87185118891166,0.919522038421693
FBtr0082507,3.55709951247767,-1.56625916350571,0.682926666978454,-2.29345146300331,0.021822026694185,0.0419029009031838
FBtr0113171,37.0771189047274,0.280857268191353,0.197265059727173,1.42375577600915,0.154517181597135,0.233893973297827
FBtr0082508,590.403007898278,-0.602822904227915,0.0549978443819536,-10.9608460295531,5.89457132949568e-28,5.35359768367183e-27
FBtr0085320,357.661512301598,0.483697728137671,0.072693571768207,6.65392711311537,2.8537403847914198e-11,1.31420606118052e-10
FBtr0085319,1703.8015488577,0.34087778719689,0.035036877113325,9.72911444402818,2.26556632737065e-22,1.71771332389083e-21
FBtr0082567,1.27006005604538,1.34606314538439,1.24568361820583,1.08058187946884,0.279883146593722,0.382217211351627
FBtr0082559,0.0,,,,,
FBtr0077530,3.03158824823842,2.46379424132086,0.659267321016058,3.73717028401117,0.0001861028925605,0.0004975618205251
FBtr0078688,427.299421132559,-0.463109631507655,0.0641523064902521,-7.21890851388211,5.240649543463479e-13,2.65943950225656e-12
FBtr0479853,3.26476613762285,0.89192578056989,0.865707447733537,1.03028544216062,0.302876030866329,0.40725484245586
FBtr0077490,675.556586931018,1.50532464047047,0.0676967335389269,22.2362965209375,1.53082079008258e-109,5.57856926132821e-108
FBtr0086542,1320.29345106317,-0.324941180338763,0.0451092443015181,-7.20342770911432,5.87174186611709e-13,2.9673916395662597e-12
FBtr0081236,389.008288269664,-0.243064118784653,0.0685376347119734,-3.5464328438838,0.0003904842537737,0.001004493212633
FBtr0081591,0.0,,,,,
FBtr0077544,0.268804474259957,2.53431644610833,2.769622359939,0.915040433947156,0.360170403691571,
FBtr0089304,2992.57044767817,0.332979144012223,0.0305548742127346,10.897742261804,1.18152660367513e-27,1.06127826920935e-26
FBtr0301669,1.9494784852656,2.96376912313365,1.04418430378112,2.83835824040016,0.0045346256938433,0.0099262949679211
FBtr0082606,0.350490255064806,0.222921674579219,1.96572007682932,0.113404587564059,0.909709802826352,0.938927413332476
FBtr0110772,9.02168850183743,-0.301371884506242,0.696642583868184,-0.432606176373604,0.665300901626081,0.757294143642895
FBtr0076944,0.483679224481608,-0.743641198656526,1.66972867343306,-0.445366490070243,0.656054924681622,0.750726400488881
FBtr0082614,380.807716409677,-0.40591802247251,0.0605092997733893,-6.70835762424448,1.9682707951852598e-11,9.147476233573001e-11
FBtr0072694,262.909479770342,1.19695245399544,0.0713746594137237,16.7699918126024,4.0456450804187103e-63,7.85904016548006e-62
FBtr0473577,17.6839738453509,0.190379123524748,0.250955780739718,0.758616211045571,0.448082172381113,0.559473666179298
FBtr0082611,3028.21497497574,-0.345788137207463,0.0256436226716481,-13.4843715973785,1.93305444106698e-41,2.44310133575814e-40
FBtr0081356,1903.80747225993,0.150624189174209,0.0389801620627751,3.86412424175248,0.0001114884681877,0.0003068440112079
FBtr0082607,3047.05625621057,0.810689769505906,0.0609312557726606,13.3049903407646,2.16521108122472e-40,2.68113743160761e-39
FBtr0081578,1.35965125403585,3.41027225209186,1.27824511355613,2.66793294644745,0.0076319488028605,0.0160715228160037
FBtr0081577,97.8169806714511,-0.216673681435818,0.105644559090441,-2.05096867554084,0.0402699973495138,0.072591773790961
FBtr0086521,4.9891825747732,0.466188100494429,0.421458289145626,1.10613105140127,0.268669800456958,0.369792379523045
FBtr0342783,1.55843348151596,-0.275978427049903,1.31873682784207,-0.209274831204573,0.834233698547703,0.895123554969794
FBtr0081576,62.5176847492196,0.109783594414996,0.146527907867009,0.749233344098771,0.453716575060507,0.565305467403825
FBtr0081605,991.991224929394,0.0255603511506736,0.0386315304323245,0.661644798034878,0.508198890217648,0.617934169708261
FBtr0081606,170.472261872865,0.284963924732572,0.0878910715880723,3.2422397358874,0.0011859421464307,0.0028603623521894
FBtr0076934,3596.47068598083,0.0138536817877623,0.0267145313957454,0.518582249583038,0.604052089910107,0.705287723995852
FBtr0081569,660.542570662442,-0.356317090064668,0.0436518219464688,-8.16270831722964,3.27594919663049e-16,1.9661050225466e-15
FBtr0086522,48.2047406256151,0.735204214533443,0.450438821237168,1.63219549441619,0.102638309638884,0.164791321237199
FBtr0076935,30.9819915783593,0.0059988717502332,0.185897522539672,0.0322697778231714,0.974256910450511,0.979593111521033
FBtr0076937,15.5179745833536,0.0393171285633448,0.332888733683195,0.118108919242555,0.905981356387318,0.937303528708756
FBtr0071519,190.233243867841,1.55120355947857,0.481528474970459,3.22141605348207,0.0012755882473612,0.003063497792436
FBtr0081611,335.766246989707,-0.0449235583177411,0.0582287058103009,-0.771501919759205,0.440409484941968,0.551958840745668
FBtr0071589,1092.82860773017,0.0412805524688361,0.0393195323179326,1.04987394394844,0.293776072657265,0.398043675896724
FBtr0072578,1824.58698970208,0.343781886595919,0.0425684550131229,8.07597753993982,6.69382026229029e-16,3.9639292085481905e-15
FBtr0071592,3157.88523601646,-0.212980778734961,0.0640328193554917,-3.32611902581633,0.0008806431435403,0.0021616455300072
FBtr0076938,6104.27180319704,-0.194331402277941,0.0168285874938129,-11.5476953932936,7.582650021711981e-31,7.50902213208781e-30
FBtr0086523,1.17631624189913,1.13498745826055,0.930070355402838,1.22032430306733,0.222341960359858,0.317143942292626
