,0,1,2,3
93,FBtr0074891,FBtr0072670,FBtr0332627,FBtr0480000
94,FBtr0078669,FBtr0089022,FBtr0080467,FBtr0079607
95,FBtr0071049,FBtr0072676,FBtr0080466,FBtr0481676
96,FBtr0078661,FBtr0072679,FBtr0085857,FBtr0076277
97,FBtr0080543,FBtr0081996,FBtr0071491,FBtr0077165
98,FBtr0088091,FBtr0072234,FBtr0086533,FBtr0087772
99,FBtr0086032,FBtr0080687,FBtr0085855,FBtr0076240
100,FBtr0073638,FBtr0301302,FBtr0071079,FBtr0077957
101,FBtr0082977,FBtr0072716,FBtr0083690,FBtr0302941
102,FBtr0074677,FBtr0079691,FBtr0070356,FBtr0300051
103,FBtr0113214,FBtr0072727,FBtr0074904,FBtr0331419
104,FBtr0078700,FBtr0085278,FBtr0070780,FBtr0075125
105,FBtr0080544,FBtr0072733,FBtr0078774,FBtr0073159
106,FBtr0076203,FBtr0074079,FBtr0087424,FBtr0078323
107,FBtr0089106,FBtr0089175,FBtr0088252,FBtr0301701
108,FBtr0082712,FBtr0075437,FBtr0071219,FBtr0347187
109,FBtr0081792,FBtr0081618,FBtr0481701,FBtr0075460
110,FBtr0083542,FBtr0082790,FBtr0072172,FBtr0075751
111,FBtr0100473,FBtr0084860,FBtr0073118,FBtr0077560
112,FBtr0088222,FBtr0082479,FBtr0073228,FBtr0075867
113,FBtr0079598,FBtr0089441,FBtr0070791,FBtr0077164
114,FBtr0081328,FBtr0084669,FBtr0071007,FBtr0076216
115,FBtr0089584,FBtr0084862,FBtr0085859,FBtr0073173
116,FBtr0075275,FBtr0290052,FBtr0301169,FBtr0083950
117,FBtr0078770,FBtr0113480,FBtr0079787,FBtr0074153
118,FBtr0078730,FBtr0084927,FBtr0086057,FBtr0302204
119,FBtr0076168,FBtr0306682,FBtr0085483,FBtr0081954
120,FBtr0079543,FBtr0085168,FBtr0079973,FBtr0078819
121,FBtr0085464,FBtr0085296,FBtr0085482,FBtr0075421
122,FBtr0088310,FBtr0082941,FBtr0085391,FBtr0077116
123,FBtr0088257,FBtr0071784,FBtr0078336,FBtr0082888
124,FBtr0075173,FBtr0082869,FBtr0070782,FBtr0070892
125,FBtr0071129,FBtr0074099,FBtr0300761,FBtr0113591
126,FBtr0087417,FBtr0301203,FBtr0087185,FBtr0078935
127,FBtr0081827,FBtr0089766,FBtr0070597,FBtr0077543
128,FBtr0085627,FBtr0100285,FBtr0113704,FBtr0078939
129,FBtr0083490,FBtr0074436,FBtr0082709,FBtr0072725
130,FBtr0085217,FBtr0114523,FBtr0070299,FBtr0077813
131,FBtr0075182,FBtr0100369,FBtr0071481,FBtr0072720
132,FBtr0076729,FBtr0071515,FBtr0078339,FBtr0083996
133,FBtr0075184,FBtr0273398,FBtr0075217,FBtr0077726
134,FBtr0081797,FBtr0082487,FBtr0086531,FBtr0071541
135,FBtr0089133,FBtr0082311,FBtr0075559,FBtr0084319
136,FBtr0088211,FBtr0086336,FBtr0081832,FBtr0079287
137,FBtr0085582,FBtr0082321,FBtr0086043,FBtr0084318
138,FBtr0083678,FBtr0079028,FBtr0078559,FBtr0079196
139,FBtr0086746,FBtr0079986,FBtr0082695,FBtr0077542
140,FBtr0071150,FBtr0080566,FBtr0089123,FBtr0080616
141,FBtr0290287,FBtr0080618,FBtr0072147,FBtr0080602
142,FBtr0089178,FBtr0072169,FBtr0300283,FBtr0305620
143,FBtr0083577,FBtr0307508,FBtr0083239,FBtr0086148
144,FBtr0083586,FBtr0080580,FBtr0081210,FBtr0075389
145,FBtr0088349,FBtr0080967,FBtr0083275,FBtr0080242
146,FBtr0075592,FBtr0082892,FBtr0083018,FBtr0302224
147,FBtr0089743,FBtr0300025,FBtr0089579,FBtr0070984
148,FBtr0083478,FBtr0080691,FBtr0086516,FBtr0080887
149,FBtr0071167,FBtr0110941,FBtr0070146,FBtr0081423
150,FBtr0078758,FBtr0070848,FBtr0078439,FBtr0081422
151,FBtr0086910,FBtr0085946,FBtr0473604,FBtr0077388
152,FBtr0086909,FBtr0086058,FBtr0070420,FBtr0079033
153,FBtr0084219,FBtr0307523,FBtr0083016,FBtr0084317
154,FBtr0084037,FBtr0307507,FBtr0073359,FBtr0089245
155,FBtr0075538,FBtr0078736,FBtr0306256,FBtr0084591
156,FBtr0073817,FBtr0087261,FBtr0089186,FBtr0114541
157,FBtr0080246,FBtr0078977,FBtr0072145,FBtr0345258
158,FBtr0076279,FBtr0082320,FBtr0072978,FBtr0087013
159,FBtr0086906,FBtr0083163,FBtr0085539,FBtr0300903
160,FBtr0076569,FBtr0082886,FBtr0085543,FBtr0344562
161,FBtr0082638,FBtr0082865,FBtr0085544,FBtr0082338
162,FBtr0075245,FBtr0076881,FBtr0085473,FBtr0081643
163,FBtr0088533,FBtr0072721,FBtr0085461,FBtr0300658
164,FBtr0073809,FBtr0087865,FBtr0088377,FBtr0083141
165,FBtr0083126,FBtr0070490,FBtr0085465,FBtr0333950
166,FBtr0071632,FBtr0081817,FBtr0086529,FBtr0076078
167,FBtr0085047,FBtr0331205,FBtr0071942,FBtr0083150
168,FBtr0082866,FBtr0088552,FBtr0079542,FBtr0334051
169,FBtr0074623,FBtr0088506,FBtr0088564,FBtr0070543
170,FBtr0086883,FBtr0081391,FBtr0073234,FBtr0084053
171,FBtr0071041,FBtr0078844,FBtr0310080,FBtr0084503
172,FBtr0332202,FBtr0072668,FBtr0081179,FBtr0079905
173,FBtr0086947,FBtr0289988,FBtr0088993,FBtr0334323
174,FBtr0076570,FBtr0077524,FBtr0071221,FBtr0089075
175,FBtr0075251,FBtr0088816,FBtr0083019,FBtr0085286
176,FBtr0075782,FBtr0071180,FBtr0082668,FBtr0073124
177,FBtr0084157,FBtr0071185,FBtr0084681,FBtr0273255
178,FBtr0086964,FBtr0072729,FBtr0082636,FBtr0085359
179,FBtr0273311,FBtr0075793,FBtr0080369,FBtr0085342
180,FBtr0300882,FBtr0071112,FBtr0080231,FBtr0071813
181,FBtr0086566,FBtr0072730,FBtr0074558,FBtr0085842
182,FBtr0086962,FBtr0085673,FBtr0079072,FBtr0089079
183,FBtr0344659,FBtr0086309,FBtr0077198,FBtr0332931
184,FBtr0089252,FBtr0072724,FBtr0082652,FBtr0084491
185,FBtr0086960,FBtr0072723,FBtr0071266,FBtr0074207
186,FBtr0086958,FBtr0339542,FBtr0110802,FBtr0089426
187,FBtr0086957,FBtr0088264,FBtr0113470,FBtr0070171
188,FBtr0110874,FBtr0078063,FBtr0072052,FBtr0073361
189,FBtr0074617,FBtr0087862,FBtr0307183,FBtr0333244
190,FBtr0086955,FBtr0087494,FBtr0085137,FBtr0085111
191,FBtr0086954,FBtr0087858,FBtr0070669,FBtr0076970
192,FBtr0077429,FBtr0072233,FBtr0070405,FBtr0113346
193,FBtr0075506,FBtr0086165,FBtr0085894,FBtr0088434
194,FBtr0078334,FBtr0086255,FBtr0079727,FBtr0080615
