transcript_id	gene_id
FBtr0070238	Dmel_CG11409
FBtr0070239	Dmel_CG14622
FBtr0070241	Dmel_CG14622
FBtr0070244	Dmel_CG11405
FBtr0070245	Dmel_CG11403
FBtr0070249	Dmel_CG3638
FBtr0070250	Dmel_CG11398
FBtr0070251	Dmel_CG11384
FBtr0070252	Dmel_CG32859
FBtr0070253	Dmel_CG14777
FBtr0070254	Dmel_CG14778
FBtr0070255	Dmel_CG14779
FBtr0070256	Dmel_CG14779
FBtr0070257	Dmel_CG14780
FBtr0070258	Dmel_CG14781
FBtr0070259	Dmel_CG14782
FBtr0070260	Dmel_CG32810
FBtr0070261	Dmel_CG11491
FBtr0070262	Dmel_CG11491
FBtr0070263	Dmel_CG11491
FBtr0070265	Dmel_CG11491
FBtr0070266	Dmel_CG11491
FBtr0070269	Dmel_CG3093
FBtr0070270	Dmel_CG3095
FBtr0070272	Dmel_CG3100
FBtr0070277	Dmel_CG14808
FBtr0070278	Dmel_CG3795
FBtr0070279	Dmel_CG3771
FBtr0070283	Dmel_CG3740
FBtr0070284	Dmel_CG14796
FBtr0070285	Dmel_CG14795
FBtr0070288	Dmel_CG33513
FBtr0070289	Dmel_CG14792
FBtr0070290	Dmel_CG14792
FBtr0070292	Dmel_CR32807
FBtr0070293	Dmel_CG14791
FBtr0070294	Dmel_CG14791
FBtr0070295	Dmel_CG32808
FBtr0070296	Dmel_CG14789
FBtr0070297	Dmel_CG14788
FBtr0070298	Dmel_CG14787
FBtr0070299	Dmel_CG12598
FBtr0070300	Dmel_CG12598
FBtr0070301	Dmel_CG32806
FBtr0070308	Dmel_CG14802
FBtr0070310	Dmel_CG14803
FBtr0070311	Dmel_CG14804
FBtr0070312	Dmel_CG14805
FBtr0070313	Dmel_CG14806
FBtr0070314	Dmel_CG3109
FBtr0070315	Dmel_CG3480
FBtr0070316	Dmel_CG17766
FBtr0070317	Dmel_CG3573
FBtr0070318	Dmel_CG11596
FBtr0070319	Dmel_CG11596
FBtr0070320	Dmel_CG11596
FBtr0070321	Dmel_CG3587
FBtr0070326	Dmel_CG4399
FBtr0070328	Dmel_CG4194
FBtr0070330	Dmel_CG4061
FBtr0070331	Dmel_CG4045
FBtr0070334	Dmel_CG4199
FBtr0070335	Dmel_CG4199
FBtr0070336	Dmel_CG4199
FBtr0070337	Dmel_CG4199
FBtr0070338	Dmel_CG14054
FBtr0070339	Dmel_CG4281
FBtr0070340	Dmel_CG4290
FBtr0070341	Dmel_CG4322
FBtr0070342	Dmel_CG4325
FBtr0070343	Dmel_CG4376
FBtr0070344	Dmel_CG4376
FBtr0070345	Dmel_CG4376
FBtr0070346	Dmel_CG4380
FBtr0070347	Dmel_CG4406
FBtr0070349	Dmel_CG3857
FBtr0070350	Dmel_CG3806
FBtr0070351	Dmel_CG3806
FBtr0070352	Dmel_CG3810
FBtr0070353	Dmel_CG3810
FBtr0070354	Dmel_CG3810
FBtr0070355	Dmel_CG32801
FBtr0070356	Dmel_CG32803
FBtr0070362	Dmel_CG3848
FBtr0070363	Dmel_CG3848
FBtr0070364	Dmel_CG14818
FBtr0070365	Dmel_CG14817
FBtr0070366	Dmel_CG14816
FBtr0070367	Dmel_CG14815
FBtr0070368	Dmel_CG14815
FBtr0070369	Dmel_CG14814
FBtr0070370	Dmel_CG14814
FBtr0070371	Dmel_CG14813
FBtr0070372	Dmel_CG14812
FBtr0070374	Dmel_CG14810
FBtr0070375	Dmel_CG4025
FBtr0070376	Dmel_CG3981
FBtr0070377	Dmel_CG3981
FBtr0070378	Dmel_CG3954
FBtr0070379	Dmel_CG3954
FBtr0070380	Dmel_CG3954
FBtr0070381	Dmel_CG3835
FBtr0070382	Dmel_CG3835
FBtr0070383	Dmel_CG3835
FBtr0070384	Dmel_CG3724
FBtr0070385	Dmel_CG3630
FBtr0070386	Dmel_CG3621
FBtr0070387	Dmel_CG3466
FBtr0070388	Dmel_CG10755
FBtr0070389	Dmel_CG3461
FBtr0070390	Dmel_CG17776
FBtr0070392	Dmel_CG3457
FBtr0070393	Dmel_CG3456
FBtr0070396	Dmel_CG3218
FBtr0070397	Dmel_CG3206
FBtr0070398	Dmel_CG3071
FBtr0070399	Dmel_CG2854
FBtr0070401	Dmel_CG2845
FBtr0070402	Dmel_CG2841
FBtr0070403	Dmel_CG2841
FBtr0070404	Dmel_CG2841
FBtr0070405	Dmel_CG14048
FBtr0070406	Dmel_CG14049
FBtr0070407	Dmel_CG14050
FBtr0070408	Dmel_CG2865
FBtr0070411	Dmel_CG2918
FBtr0070412	Dmel_CG2924
FBtr0070414	Dmel_CG3073
FBtr0070415	Dmel_CG3078
FBtr0070416	Dmel_CG3091
FBtr0070417	Dmel_CG3191
FBtr0070418	Dmel_CG3193
FBtr0070419	Dmel_CG3228
FBtr0070420	Dmel_CG3299
FBtr0070421	Dmel_CG33548
FBtr0070422	Dmel_CG33548
FBtr0070423	Dmel_CG18031
FBtr0070424	Dmel_CG14053
FBtr0070425	Dmel_CG3460
FBtr0070426	Dmel_CG3540
FBtr0070427	Dmel_CG3656
FBtr0070428	Dmel_CG3656
FBtr0070429	Dmel_CG3707
FBtr0070430	Dmel_CG3707
FBtr0070431	Dmel_CG3717
FBtr0070432	Dmel_CG18412
FBtr0070433	Dmel_CG3895
FBtr0070434	Dmel_CG16903
FBtr0070435	Dmel_CG7803
FBtr0070436	Dmel_CG13758
FBtr0070437	Dmel_CG13759
FBtr0070438	Dmel_CG17437
FBtr0070439	Dmel_CG9659
FBtr0070440	Dmel_CG9659
FBtr0070441	Dmel_CG9900
FBtr0070442	Dmel_CG9904
FBtr0070445	Dmel_CG10742
FBtr0070446	Dmel_CG8636
FBtr0070447	Dmel_CG13761
FBtr0070448	Dmel_CG8590
FBtr0070457	Dmel_CG32796
FBtr0070458	Dmel_CG32796
FBtr0070459	Dmel_CG7925
FBtr0070460	Dmel_CG7952
FBtr0070461	Dmel_CG32797
FBtr0070462	Dmel_CG12496
FBtr0070466	Dmel_CG2621
FBtr0070467	Dmel_CG2621
FBtr0070468	Dmel_CG2621
FBtr0070469	Dmel_CG2621
FBtr0070470	Dmel_CG2621
FBtr0070471	Dmel_CG2621
FBtr0070472	Dmel_CG2621
FBtr0070473	Dmel_CG2621
FBtr0070474	Dmel_CG2621
FBtr0070475	Dmel_CG2621
FBtr0070476	Dmel_CG2621
FBtr0070477	Dmel_CG2647
FBtr0070478	Dmel_CG2662
FBtr0070479	Dmel_CG2677
FBtr0070480	Dmel_CG2681
FBtr0070481	Dmel_CG2694
FBtr0070482	Dmel_CG2694
FBtr0070484	Dmel_CG2706
FBtr0070485	Dmel_CG2707
FBtr0070486	Dmel_CG2709
FBtr0070487	Dmel_CG2711
FBtr0070488	Dmel_CG2712
FBtr0070489	Dmel_CG12498
FBtr0070490	Dmel_CG2759
FBtr0070491	Dmel_CG32795
FBtr0070492	Dmel_CG32795
FBtr0070493	Dmel_CG32795
FBtr0070494	Dmel_CG2715
FBtr0070495	Dmel_CG2714
FBtr0070496	Dmel_CG2714
FBtr0070497	Dmel_CG2713
FBtr0070498	Dmel_CG2701
FBtr0070499	Dmel_CG2685
FBtr0070501	Dmel_CG2675
FBtr0070502	Dmel_CG2658
FBtr0070504	Dmel_CG2650
FBtr0070505	Dmel_CG2652
FBtr0070506	Dmel_CG2655
FBtr0070507	Dmel_CG3936
FBtr0070508	Dmel_CG3939
FBtr0070509	Dmel_CG32498
FBtr0070511	Dmel_CG32498
FBtr0070512	Dmel_CG32498
FBtr0070513	Dmel_CG32498
FBtr0070515	Dmel_CG32498
FBtr0070517	Dmel_CG32498
FBtr0070518	Dmel_CG32498
FBtr0070519	Dmel_CG32498
FBtr0070520	Dmel_CG32498
FBtr0070521	Dmel_CG32498
FBtr0070522	Dmel_CG32498
FBtr0070523	Dmel_CG10781
FBtr0070525	Dmel_CG10798
FBtr0070526	Dmel_CG10801
FBtr0070527	Dmel_CG12206
FBtr0070528	Dmel_CG12206
FBtr0070529	Dmel_CG12206
FBtr0070530	Dmel_CG16781
FBtr0070531	Dmel_CG16782
FBtr0070532	Dmel_CG14269
FBtr0070533	Dmel_CR32493
FBtr0070534	Dmel_CG12535
FBtr0070536	Dmel_CG10793
FBtr0070537	Dmel_CG10790
FBtr0070538	Dmel_CG10789
FBtr0070539	Dmel_CG10788
FBtr0070540	Dmel_CG14266
FBtr0070541	Dmel_CG14265
FBtr0070542	Dmel_CG4015
FBtr0070543	Dmel_CG18508
FBtr0070546	Dmel_CG3526
FBtr0070550	Dmel_CG32793
FBtr0070551	Dmel_CG3592
FBtr0070552	Dmel_CG3598
FBtr0070553	Dmel_CG14420
FBtr0070554	Dmel_CG14421
FBtr0070555	Dmel_CG14422
FBtr0070556	Dmel_CG14423
FBtr0070557	Dmel_CG17959
FBtr0070558	Dmel_CG3603
FBtr0070559	Dmel_CG3653
FBtr0070560	Dmel_CG3653
FBtr0070561	Dmel_CG4116
FBtr0070562	Dmel_CG4125
FBtr0070563	Dmel_CG14424
FBtr0070564	Dmel_CG14419
FBtr0070565	Dmel_CG14418
FBtr0070566	Dmel_CG14417
FBtr0070567	Dmel_CG14416
FBtr0070568	Dmel_CG10802
FBtr0070569	Dmel_CG10803
FBtr0070570	Dmel_CG13021
FBtr0070571	Dmel_CG13021
FBtr0070575	Dmel_CG2872
FBtr0070577	Dmel_CG13317
FBtr0070578	Dmel_CG13316
FBtr0070579	Dmel_CG13316
FBtr0070582	Dmel_CG2849
FBtr0070583	Dmel_CG2849
FBtr0070584	Dmel_CG2849
FBtr0070586	Dmel_CG2875
FBtr0070587	Dmel_CG2875
FBtr0070588	Dmel_CG32791
FBtr0070589	Dmel_CG14271
FBtr0070590	Dmel_CG14270
FBtr0070591	Dmel_CG10804
FBtr0070592	Dmel_CG10804
FBtr0070596	Dmel_CG34412
FBtr0070597	Dmel_CG2947
FBtr0070598	Dmel_CG2947
FBtr0070599	Dmel_CG32788
FBtr0070600	Dmel_CG32789
FBtr0070603	Dmel_CR32785
FBtr0070604	Dmel_CR32784
FBtr0070605	Dmel_CG2901
FBtr0070606	Dmel_CG2904
FBtr0070608	Dmel_CG2930
FBtr0070609	Dmel_CG2930
FBtr0070610	Dmel_CG2930
FBtr0070611	Dmel_CG2934
FBtr0070612	Dmel_CG15239
FBtr0070613	Dmel_CG2941
FBtr0070616	Dmel_CG5014
FBtr0070617	Dmel_CG5014
FBtr0070618	Dmel_CG5014
FBtr0070624	Dmel_CG6414
FBtr0070625	Dmel_CG6428
FBtr0070626	Dmel_CG6450
FBtr0070627	Dmel_CG2938
FBtr0070634	Dmel_CR32777
FBtr0070635	Dmel_CR32777
FBtr0070638	Dmel_CG4934
FBtr0070639	Dmel_CG4944
FBtr0070640	Dmel_CG4944
FBtr0070641	Dmel_CG4944
FBtr0070642	Dmel_CG4865
FBtr0070643	Dmel_CG4857
FBtr0070644	Dmel_CG32775
FBtr0070645	Dmel_CG15570
FBtr0070646	Dmel_CG12691
FBtr0070647	Dmel_CG15572
FBtr0070648	Dmel_CG2982
FBtr0070650	Dmel_CG3620
FBtr0070651	Dmel_CG3620
FBtr0070652	Dmel_CG3626
FBtr0070654	Dmel_CG12693
FBtr0070655	Dmel_CG3712
FBtr0070656	Dmel_CG3697
