,Malpighian tubule,amnioserosa,anlage in statu nascendi,brain,brain primordium,brain ,cellular blastoderm / pole cell,crystal cell,ectoderm anlage,ectoderm anlage in statu nascendi,ectoderm primordium,endoderm primordium,epidermis,epidermis primordium,epidermis ,fat body,foregut / hindgut / anal pad,foregut / hindgut primordium,germ cell,glia,hindgut / anal pad,hindgut primordium,maternal,mesoderm primordium,midgut,midgut primordium,midline primordium,muscle,peripheral nervous system,peripheral nervous system primordium,plasmatocytes,plasmatocytes anlage,procrystal cell,proventriculus,salivary gland,salivary gland body primordium,salivary gland primordium,sensory nervous system,sensory nervous system primordium,somatic muscle,somatic muscle primordium,spiracle (tracheal system),spiracles (tracheal system),tracheal primordium,tracheal system,trunk mesoderm primordium,ubiquitous,unknown,ventral nerve cord,ventral nerve cord primordium,ventral nerve cord ,visceral muscle,visceral muscle primordium,yolk nuclei
JW18wMel221117-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33622147500067917,0.0,0.0,0.0,0.3093910153198715,0.0,0.0,0.0,0.0,0.17126760526773277,0.0,0.0,0.15206127624536553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020786200516058925
JW18wMel221117-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3229279293539872,0.0,0.0,0.0,0.3201265435227246,0.0,0.0,0.0,0.0,0.1719061391892221,0.0,0.0,0.15205255969604822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023427095491120525
S2DOX221117-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35761120523071943,0.0,0.0,0.0,0.3414497283232421,0.0,0.0,0.0,0.0,0.10857205312765808,0.0,0.0,0.1696688997896566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.435294031219548e-05
S2DOX221117-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40131343415426113,0.0,0.0,0.0,0.307100264537102,0.0,0.0,0.0,0.0,0.09991820059451074,0.0,0.0,0.16782058078040135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2DOX221117-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38280549904044825,0.0,0.0,0.0,0.3215988594412858,0.0,0.0,0.0,0.0,0.1046477441057271,0.0,0.0,0.16789318928891564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2DOX221117-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4017336346270008,0.0,0.0,0.0,0.3124462093193087,0.0,0.0,0.0,0.0,0.09824791368641841,0.0,0.0,0.16457241646367793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2DOX221117-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34734488760467425,0.0,0.0,0.0,0.3471977044277087,0.0,0.0,0.0,0.0,0.11261521109504659,0.0,0.0,0.16969731559301926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.998576557164929e-05
S2DOX221117-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36027023231533645,0.0,0.0,0.0,0.34023055415780323,0.0,0.0,0.0,0.0,0.11007068536149454,0.0,0.0,0.16853068556278653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2wMel221117-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358868655279718,0.0,0.0,0.0,0.32254125900744657,0.0,0.0,0.0,0.0,0.13690133638642993,0.0,0.0,0.16558231325252895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029089048363443646
S2wMel221117-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3566520140017107,0.0,0.0,0.0,0.3071619215551584,0.0,0.0,0.0,0.0,0.1343076481641753,0.0,0.0,0.16535684549965093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022255081471734027
S2wMel221117-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32812415507470655,0.0,0.0,0.0,0.32932835808008604,0.0,0.0,0.0,0.0,0.1349802613354555,0.0,0.0,0.1671587408758583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002837803327846897
S2wMel221117-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34688859230378954,0.0,0.0,0.0,0.31535262432327515,0.0,0.0,0.0,0.0,0.13094642958294964,0.0,0.0,0.16695271487270263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000247708493565806
S2wMel221117-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863818043975868,0.0,0.0,0.0,0.36004652856415165,0.0,0.0,0.0,0.0,0.13570475361932968,0.0,0.0,0.1699064738266777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031927894288934578
S2wMel221117-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37321945322923616,0.0,0.0,0.0,0.2979147049577189,0.0,0.0,0.0,0.0,0.12613334735709603,0.0,0.0,0.16623572583351737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001633049107047129
