,Malpighian tubule,amnioserosa,anlage in statu nascendi,brain,brain primordium,brain ,cellular blastoderm / pole cell,crystal cell,ectoderm anlage,ectoderm anlage in statu nascendi,ectoderm primordium,endoderm primordium,epidermis,epidermis primordium,epidermis ,fat body,foregut / hindgut / anal pad,foregut / hindgut primordium,germ cell,glia,hindgut / anal pad,hindgut primordium,maternal,mesoderm primordium,midgut,midgut primordium,midline primordium,muscle,peripheral nervous system,peripheral nervous system primordium,plasmatocytes,plasmatocytes anlage,procrystal cell,proventriculus,salivary gland,salivary gland body primordium,salivary gland primordium,sensory nervous system,sensory nervous system primordium,somatic muscle,somatic muscle primordium,spiracle (tracheal system),spiracles (tracheal system),tracheal primordium,tracheal system,trunk mesoderm primordium,ubiquitous,unknown,ventral nerve cord,ventral nerve cord primordium,ventral nerve cord ,visceral muscle,visceral muscle primordium,yolk nuclei
JW18wMel221117-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3591734849657671,0.0,0.0,0.0,0.3336512053508645,0.0,0.0,0.0,0.0,0.17275453032663127,0.0,0.0,0.15716492731666437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008106618201262981
JW18wMel221117-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346778190350468,0.0,0.0,0.0,0.3449817860092307,0.0,0.0,0.0,0.0,0.17443951592651105,0.0,0.0,0.15741649775535985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009136567241537004
S2DOX221117-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3780521860814325,0.0,0.0,0.0,0.3607570937768787,0.0,0.0,0.0,0.0,0.10870942113349313,0.0,0.0,0.1730052949244317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002119764672175624
S2DOX221117-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42447000419179187,0.0,0.0,0.0,0.3285942623154822,0.0,0.0,0.0,0.0,0.10060915049070472,0.0,0.0,0.1701741029357458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2DOX221117-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40354971284971686,0.0,0.0,0.0,0.34151111469773776,0.0,0.0,0.0,0.0,0.10695823842008181,0.0,0.0,0.17103564215608683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2DOX221117-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42373008813683943,0.0,0.0,0.0,0.3329183955663546,0.0,0.0,0.0,0.0,0.09925128608017404,0.0,0.0,0.16710005612022596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2DOX221117-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684180157393087,0.0,0.0,0.0,0.3669698005719923,0.0,0.0,0.0,0.0,0.11351751938266906,0.0,0.0,0.17304011496271526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011694448572943223
S2DOX221117-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37870411054803244,0.0,0.0,0.0,0.3581230325135662,0.0,0.0,0.0,0.0,0.11253464973137774,0.0,0.0,0.17153604980960277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2wMel221117-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363036249185154,0.0,0.0,0.0,0.3471825500614609,0.0,0.0,0.0,0.0,0.144631490724688,0.0,0.0,0.17200820320224486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01134472886174302
S2wMel221117-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3844941030070391,0.0,0.0,0.0,0.3323598858351872,0.0,0.0,0.0,0.0,0.14016638442980384,0.0,0.0,0.17059916491858085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00867948177397627
S2wMel221117-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35746520672999726,0.0,0.0,0.0,0.35494355418186396,0.0,0.0,0.0,0.0,0.14272663159110272,0.0,0.0,0.17392187881954227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011067432978602897
S2wMel221117-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3770875999720062,0.0,0.0,0.0,0.34137814577032,0.0,0.0,0.0,0.0,0.13873271119737238,0.0,0.0,0.17275284223495238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009660631249066434
S2wMel221117-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31689483300828075,0.0,0.0,0.0,0.3861673045913641,0.0,0.0,0.0,0.0,0.146795007209996,0.0,0.0,0.17746309437215954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017447410981560236
S2wMel221117-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4033473303341839,0.0,0.0,0.0,0.32398697061973214,0.0,0.0,0.0,0.0,0.13133424411547656,0.0,0.0,0.17129602712485045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006368891517483802
