,Malpighian tubule,amnioserosa,anlage in statu nascendi,brain,brain primordium,brain ,cellular blastoderm / pole cell,crystal cell,ectoderm anlage,ectoderm anlage in statu nascendi,ectoderm primordium,endoderm primordium,epidermis,epidermis primordium,epidermis ,fat body,foregut / hindgut / anal pad,foregut / hindgut primordium,germ cell,glia,hindgut / anal pad,hindgut primordium,maternal,mesoderm primordium,midgut,midgut primordium,midline primordium,muscle,peripheral nervous system,peripheral nervous system primordium,plasmatocytes,plasmatocytes anlage,procrystal cell,proventriculus,salivary gland,salivary gland body primordium,salivary gland primordium,sensory nervous system,sensory nervous system primordium,somatic muscle,somatic muscle primordium,spiracle (tracheal system),spiracles (tracheal system),tracheal primordium,tracheal system,trunk mesoderm primordium,ubiquitous,unknown,ventral nerve cord,ventral nerve cord primordium,ventral nerve cord ,visceral muscle,visceral muscle primordium,yolk nuclei
JW18wMel221117-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3597774852280063,0.0,0.0,0.0,0.30875258926642435,0.0,0.0,0.0,0.0,0.17122847566091964,0.0,0.0,0.15192696963822608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00831448020642357
JW18wMel221117-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3474058287977438,0.0,0.0,0.0,0.31947245819413234,0.0,0.0,0.0,0.0,0.17183947138034608,0.0,0.0,0.1519114034313295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00937083819644821
S2DOX221117-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3785901066301355,0.0,0.0,0.0,0.3409416397586727,0.0,0.0,0.0,0.0,0.10871303608101511,0.0,0.0,0.16958109991768883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021741176124878193
S2DOX221117-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4250793876138322,0.0,0.0,0.0,0.3065346330166183,0.0,0.0,0.0,0.0,0.10062733338270982,0.0,0.0,0.16775864598683965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2DOX221117-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40409561321311865,0.0,0.0,0.0,0.32107485272401076,0.0,0.0,0.0,0.0,0.10701904090203852,0.0,0.0,0.16781049316083219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2DOX221117-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424308942176572,0.0,0.0,0.0,0.3119074675759654,0.0,0.0,0.0,0.0,0.09927769061685182,0.0,0.0,0.16450589963061088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2DOX221117-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36897257174285175,0.0,0.0,0.0,0.34667738610812227,0.0,0.0,0.0,0.0,0.11354126433760649,0.0,0.0,0.16960934718855358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011994306228659715
S2DOX221117-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3791892126067876,0.0,0.0,0.0,0.3397596994642305,0.0,0.0,0.0,0.0,0.11259949089900624,0.0,0.0,0.16845159702997556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2wMel221117-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3643604545172168,0.0,0.0,0.0,0.3218928039797093,0.0,0.0,0.0,0.0,0.13669791127226524,0.0,0.0,0.16541321088543115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011635619345377457
S2wMel221117-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38522678955981093,0.0,0.0,0.0,0.3064988172319998,0.0,0.0,0.0,0.0,0.13415347089402715,0.0,0.0,0.16521888972546855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00890203258869361
S2wMel221117-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3582373396682944,0.0,0.0,0.0,0.32865427397214453,0.0,0.0,0.0,0.0,0.13477640948662267,0.0,0.0,0.16698076356155084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011351213311387586
S2wMel221117-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37788231070011713,0.0,0.0,0.0,0.3146677421799319,0.0,0.0,0.0,0.0,0.13074152743520168,0.0,0.0,0.16680007994211712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009908339742632239
S2wMel221117-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31769780744540427,0.0,0.0,0.0,0.35935913972133027,0.0,0.0,0.0,0.0,0.13541290484062793,0.0,0.0,0.16970761539127027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017822532601367257
S2wMel221117-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4041401692053667,0.0,0.0,0.0,0.29722859270345536,0.0,0.0,0.0,0.0,0.12599648165292812,0.0,0.0,0.16610256001006124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065321964281885156
