,subclustering
JW18DOX221117-1,CC
JW18DOX221117-2,CC
JW18DOX221117-3,CC
JW18DOX221117-4,CC
JW18DOX221117-5,CC
JW18DOX221117-6,CC
JW18wMel221117-1,CC
JW18wMel221117-2,CC
JW18wMel221117-3,CC
JW18wMel221117-4,CC
JW18wMel221117-5,CC
JW18wMel221117-6,CC
S2DOX221117-1,CC
S2DOX221117-2,CC
S2DOX221117-3,CC
S2DOX221117-4,CC
S2DOX221117-5,CC
S2DOX221117-6,CC
S2wMel221117-1,CC
S2wMel221117-2,CC
S2wMel221117-3,CC
S2wMel221117-4,CC
S2wMel221117-5,CC
S2wMel221117-6,CC
